tmID,year,confID,predicted_wins,rank_conf,prev_won
ATL,10,EA,14.473665878822482,6.0,4
CHI,10,EA,14.006286204737801,7.0,12
CON,10,EA,19.399758604773996,2.0,21
DET,10,EA,16.864102325398193,4.0,22
IND,10,EA,19.421498443647113,1.0,17
LAS,10,WE,20.339120909322403,2.0,20
MIN,10,WE,16.688492248039804,6.0,16
NYL,10,EA,16.92909719799583,3.0,19
PHO,10,WE,17.15511316793676,5.0,16
SAC,10,WE,20.221673948641943,3.0,18
SAS,10,WE,22.265533787926906,1.0,24
SEA,10,WE,19.62809823808116,4.0,22
WAS,10,EA,15.799587969216395,5.0,10
